Name,Age,Gender,Country,State,City,Parental_Education_Level,Earning Class,Level,Course Name,Course Level,Material Level,Previous_Scores,Assesment Score,IQ,Attendance,Material Name,recommended_material,Study Time,promoted
Daniel Sullivan,10,Male,Djibouti,South Dakota,New Michaelshire,High School,Low,Elementary,"Introduction to Computers, Fun with Languages, Stories of the Past",Medium,High,73,67,93.15,84,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",4.02,No
Michael Morales,11,Female,Niue,Kentucky,Port Danielville,College,Medium,Middle School,"Exploring the World, Fitness and Health, Introduction to Physics, Chemistry, and Biology",Medium,Medium,59,61,81.45,64,"Reference Books, Online Courses, Project Kits, Lab Manuals","CK-12 Interactive Learning - https://www.ck12.org/, NASA STEM Engagement - https://www.nasa.gov/stem/, Quizlet Study Sets - https://quizlet.com/",3.66,No
Patrick Smith,5,Male,Kenya,Michigan,Port Shannon,Postgraduate,Medium,Kindergarten,"Rhythm and Rhyme, Fun with Letters, Numbers Around Us",Medium,Medium,91,74,107.55,98,"Storybooks, Flashcards, Interactive Games, Coloring Sheets","PBS Kids Learning Games - https://pbskids.org/, Sesame Street Learning - https://www.sesamestreet.org/, National Geographic Kids - https://kids.nationalgeographic.com/",4.44,Yes
John Robinson,15,Male,Congo,New Hampshire,Kellishire,High School,Medium,High School,"Economics, Programming, Chemistry",Medium,Medium,98,71,108.0,89,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",4.26,Yes
Kyle Walker,10,Female,Australia,North Carolina,Guerreroborough,College,Medium,Elementary,"Reading Adventures, Art and Imagination, Fun with Languages",High,Medium,65,70,92.25,92,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",4.2,No
Sarah Williamson,15,Male,Martinique,Rhode Island,Turnerton,Postgraduate,Medium,High School,"SAT/ACT Prep, Advanced Literature and Composition, Biology",Medium,Medium,89,71,103.95,88,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",4.26,Yes
Christina Barnes,6,Male,Reunion,Oregon,Ashleyside,High School,Low,Kindergarten,"Rhythm and Rhyme, Exploring the World, Fun with Letters",Medium,Low,68,67,90.9,84,"Storybooks, Flashcards, Interactive Games, Coloring Sheets","PBS Kids Learning Games - https://pbskids.org/, Sesame Street Learning - https://www.sesamestreet.org/, National Geographic Kids - https://kids.nationalgeographic.com/",4.02,No
Isabel Golden MD,14,Male,Azerbaijan,Kansas,Heidistad,High School,High,High School,"Calculus, Modern History and Civics, Trigonometry",High,High,50,66,81.9,78,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",3.96,No
Carl Johnson DDS,17,Male,Cayman Islands,North Carolina,Danieltown,College,Medium,High School,"Business Studies, SAT/ACT Prep, Data Science Basics",Low,High,80,69,98.1,94,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",4.14,Yes
Katherine Williams,11,Male,Slovakia (Slovak Republic),Connecticut,Smithmouth,High School,High,Middle School,"Advanced Art Techniques, Algebra Basics, Robotics",High,Medium,71,72,96.75,98,"Reference Books, Online Courses, Project Kits, Lab Manuals","CK-12 Interactive Learning - https://www.ck12.org/, NASA STEM Engagement - https://www.nasa.gov/stem/, Quizlet Study Sets - https://quizlet.com/",4.32,Yes
